"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"OTU_2",3268.19689606469,-0.12407386533351,0.409709614035728,-0.302833668244578,0.76201662389566,0.858944380572744
"OTU_13",631.264266722939,-2.25578246397238,0.362833686635149,-6.21712522035119,5.06345681919203e-10,3.79759261439402e-09
"OTU_12",1756.18492439844,0.755042543302862,0.368152117522301,2.05089827646347,0.0402768540390075,0.10984596556093
"OTU_11",1276.3337851546,0.350272530046299,0.346874486766054,1.00979617530227,0.312592952954246,0.61418705042926
"OTU_7",358.93134394115,-2.33560789587694,0.375669417482674,-6.21718933504789,5.06138908045585e-10,3.79759261439402e-09
"OTU_3",1905.46309584442,0.961253942001499,0.343200199877808,2.80085484316076,0.00509674390624368,0.0169891463541456
"OTU_17",345.202377163248,-0.678177862324176,0.369425366593395,-1.83576419935074,0.0663925384054078,0.16598134601352
"OTU_22",56.9418551151983,-1.93969887410402,0.555291847253531,-3.49311606805998,0.000477418950496023,0.00179032106436009
"OTU_19",206.491533875895,-0.00622957962835563,0.429971201501344,-0.0144883648174659,0.988440361821452,0.988440361821452
"OTU_4",88.033848208822,-0.411042922990073,0.440789171236495,-0.932515927823322,0.351069959111673,0.61418705042926
"OTU_26",4.09818343162475,1.09734584098535,1.57740938751048,0.695663313324904,0.48663970580401,0.709506007787484
"OTU_15",983.949479573927,3.87343405435627,0.353436904554283,10.9593367428368,5.99370192494017e-28,1.79811057748205e-26
"OTU_9",118.106508415493,0.28332716509372,0.416802541768623,0.679763525173034,0.496654205451239,0.709506007787484
"OTU_36",1.17351913458452,-3.42523581969991,3.5628147511807,-0.961384764269544,0.33635874201093,0.61418705042926
"OTU_14",4.3058498869978,-1.35085630252223,1.55305845622886,-0.869803900235911,0.384407579685743,0.61418705042926
"OTU_24",48.7242601023993,0.84583795619977,0.584109323060863,1.44808158816468,0.147594234141574,0.332225368368434
"OTU_29",36.6856669305398,1.51237909269098,0.603210255462485,2.50721714194238,0.0121685931847164,0.0365057795541492
"OTU_33",7.38761399121474,0.337662679843031,1.1708634574347,0.288387751534097,0.77304994251547,0.858944380572744
"OTU_32",2.82353006938546,-0.10315295357248,1.94334836125659,-0.0530800116072757,0.957668157424558,0.988440361821452
"OTU_39",1.86823659206512,-2.06100224401298,2.3924545958412,-0.861459292726231,0.388985131938532,0.61418705042926
"OTU_5",0.973688647552698,1.13174708824842,3.56386223827863,0.317561962999744,0.750817230752194,0.858944380572744
"OTU_10",15.383992255452,5.64786217364763,1.3920268429989,4.05729401128516,4.96445698259168e-05,0.000212762442111072
"OTU_18",1.24343690241523,0.815006523210402,2.7510174183533,0.296256402367036,0.767034278084054,0.858944380572744
"OTU_16",463.774758248506,11.4945809372681,1.24266073864515,9.24997513786465,2.24544895524806e-20,3.36817343287208e-19
"OTU_25",40.3862729725648,8.93871884029574,1.81285935562413,4.93072935446684,8.19231692373224e-07,4.09615846186612e-06
"OTU_27",20.3423133165729,7.94175441191262,1.45606133969882,5.45427187398253,4.91739183479507e-08,2.95043510087704e-07
"OTU_34",1.74176484631604,4.41263748728033,3.10321271228634,1.42195778903898,0.155038505238602,0.332225368368434
"OTU_45",0.340920115737357,2.12402012770512,4.04711124629575,0.524823756611387,0.599705715109763,0.817780520604222
"OTU_47",0.165814524415022,1.36896181010145,4.0804728567969,0.335490973263344,0.737254752868626,0.858944380572744
"OTU_8",0.140017560571361,-0.554591541541036,4.0804728567969,-0.135913547523603,0.891889625484519,0.955596027304842
